43,"Hon. Justice Godwin Abraham",,<p>&nbsp;</p>,"2019-01-04 22:11:50","2019-01-04 22:11:50"
44,"Mr. Abubakar Malami SAN",,<p>&nbsp;</p>,"2019-01-04 22:13:33","2019-01-04 22:13:33"
45,"Mr. Umeh Kalu SAN",,<p>&nbsp;</p>,"2019-01-04 22:14:03","2019-01-04 22:14:03"
46,"B. S. D. Sanga",,<p>&nbsp;</p>,"2019-01-04 22:14:36","2019-01-04 22:14:36"
47,"Mr. Paul Usoro, SAN",,<p>&nbsp;</p>,"2019-01-04 22:15:17","2019-01-04 22:15:17"
48,"Prof. Ogugua V.C. Ikpeze",,<p>&nbsp;</p>,"2019-01-04 22:15:56","2019-01-04 22:15:56"
49,"Prince Lateef Fagbemi, SAN",,<p>&nbsp;</p>,"2019-01-04 22:16:31","2019-01-04 22:16:31"
50,"Chief Nyesom Ezenwo Wike, CON",,<p>&nbsp;</p>,"2019-01-04 22:17:12","2019-01-04 22:17:12"
51,"Senator David Umaru",,<p>&nbsp;</p>,"2019-01-04 22:18:03","2019-01-04 22:18:03"
52,"Hon. Aminu Shehu Shagari",,<p>&nbsp;</p>,"2019-01-04 22:18:25","2019-01-04 22:18:25"
53,"Hon. Justice S.S Alagoa",,<p>&nbsp;</p>,"2019-01-04 22:19:07","2019-01-04 22:19:07"
54,"Mr. Olusina Sofola, SAN",,<p>&nbsp;</p>,"2019-01-04 22:19:36","2019-01-04 22:19:36"
55,"Mr. Joe Agi, SAN",,<p>&nbsp;</p>,"2019-01-04 22:20:01","2019-01-04 22:20:01"
56,"Hon. Justice M.L. Uwais, GCON",,<p>&nbsp;</p>,"2019-04-04 11:40:24","2019-04-04 11:40:24"
57,"Hon. Justice M.L. Uwais, GCON",,<p>&nbsp;</p>,"2019-04-04 11:43:09","2019-04-04 11:43:09"
58,"Hon. Justice M.L. Uwais, GCON",,<p>&nbsp;</p>,"2019-04-04 11:46:19","2019-04-04 11:46:19"
59,"Hon. Justice M.L. Uwais, GCON",,<p>&nbsp;</p>,"2019-04-04 14:15:40","2019-04-04 14:15:40"
60,"Hon. Justice M.L. Uwais, GCON",,"<p>Former Chairman, Former Chief Justice of Nigeria</p>","2019-05-10 11:16:53","2019-05-10 11:21:01"
61,"Mr. Kehinde Sofola, CON, SAN",,"<p>Kehinde Sofola, CON, SAN was Chairman of the Body of Benchers from 1994 to 1995.</p><p>&nbsp;</p><p>He is a Life Bencher.</p>","2019-05-10 12:11:47","2019-05-13 16:49:12"
62,"Hon. Justice M.M.A Akanbi, CON",,"<p>Justice Akanbi, CON was Chairman of the Body of Benchers from 1995 to 1996.</p><p>&nbsp;</p><p>He is a Life Bencher.</p>","2019-05-10 12:16:40","2019-05-13 16:50:36"
63,"Dr. Mudiaga Odje, OFR",,"<p>Life Bencher, Former Chairman.</p>","2019-05-10 12:37:43","2019-05-10 12:37:43"
64,"Hon. Justice S.M.A Belgore, GCON",,"<p>Justice Belgore was Chairman of the Body of Benchers from 1997 to 1998.</p><p>&nbsp;</p><p>He is a Life Bencher.</p>","2019-05-10 12:41:04","2019-05-13 16:19:00"
65,"Mrs. H.A. Balogun, OON",,"<p>Mrs. Balogun was Chairman of the Body of Benchers from 1998 to 1999.</p><p>&nbsp;</p><p>She is a Life Bencher.</p>","2019-05-10 12:49:12","2019-05-15 10:08:12"
66,"Hon.Justice A. B.Wali, CON",,"<p>Justice Wali was Chairman of the Body of Benchers from 1999 to 2000.</p><p>&nbsp;</p><p>He is a Life Bencher.</p>","2019-05-10 13:52:23","2019-05-15 10:14:09"
67,"Alh. Abdullahi Ibrahim, CON, SAN",,"<p>Alh. Ibrahim was Chairman of the Body of Benchers from 2000 to 2001.</p><p>&nbsp;</p><p>He is a Life Bencher.</p>","2019-05-10 13:53:30","2019-05-15 11:26:42"
68,"Alh. Abdullahi Ibrahim, CON, SAN",,"<p>Life Bencher, Former Chairman.</p>","2019-05-10 13:54:14","2019-05-10 13:54:14"
